"produto","preco","classificacao_media","numero_avaliacoes","data_lancamento","tamanho"
"Air Max",487.709981109947,3.07974444027059,49,2020-12-11,"44"
"Air Max",228.339428640902,2.14675062545575,76,2016-08-20,"37"
"Air Max",448.479091003537,4.29927464248613,18,2018-12-04,"39"
"Air Max",273.480767477304,4.51914105354808,100,2020-10-02,"41"
"Air Max",699.937690701336,2.53300376073457,98,2020-12-12,"45"
"Air Max",260.521635087207,2.25055438303389,65,2015-09-25,"35"
"Air Max",561.936485255137,3.76702536828816,80,2016-07-10,"42"
"Air Max",347.665515355766,2.31142624351196,71,2020-05-10,"40"
"Air Max",249.591920990497,2.09147341363132,34,2020-03-18,"39"
"Air Max",696.538496064022,2.92822620086372,40,2018-06-30,"36"
"Air Max",736.456567980349,3.71092543774284,61,2019-04-24,"39"
"Air Max",701.715273456648,2.58459560829215,78,2017-07-16,"38"
"Air Max",677.006645966321,4.86876152316108,31,2017-09-01,"42"
"Air Max",451.004973752424,4.42345705232583,46,2020-05-29,"40"
"Air Max",739.742610557005,2.71187079092488,58,2018-08-09,"39"
"Air Max",300.052597047761,2.84649592265487,71,2018-01-18,"38"
"Air Max",779.947986872867,2.80212978832424,26,2017-05-29,"37"
"Air Max",319.070430705324,2.08290779939853,72,2016-08-04,"37"
"Air Max",614.45629177615,4.8346333282534,89,2018-06-14,"38"
"Air Max",302.603328647092,2.48794263391756,71,2020-03-22,"36"
"Air Max",515.068486239761,3.76749291224405,83,2020-06-18,"40"
"Air Max",236.654311232269,2.48104603402317,80,2020-04-04,"39"
"Air Max",293.639044137672,3.92704126494937,47,2017-12-20,"45"
"Air Max",383.904942777008,3.36366775957868,59,2018-02-23,"40"
"Air Max",416.060511395335,2.71744369831868,53,2017-02-13,"45"
"Air Max",512.26668227464,4.58027747971937,13,2015-09-01,"43"
"Air Max",442.696308298036,2.27102482900955,32,2020-09-12,"40"
"Air Max",273.792050546035,4.38453694991767,86,2018-02-04,"45"
"Air Max",722.255838522688,3.54339191759937,42,2015-04-03,"36"
"Air Max",489.472935348749,2.34204022004269,57,2020-03-13,"37"
"Air Max",612.269059289247,4.85226220428012,38,2020-05-21,"40"
"Air Max",544.213340198621,2.01137728872709,82,2018-12-18,"37"
"Air Max",765.422960184515,3.89420004212297,71,2019-08-25,"42"
"Air Max",537.01112465933,2.50332502019592,90,2016-12-13,"41"
"Air Max",329.724739771336,3.89174711308442,96,2019-09-20,"35"
"Air Max",331.88001178205,4.31255076196976,90,2017-04-05,"41"
"Air Max",676.890953211114,3.41311043617316,91,2018-11-15,"45"
"Air Max",728.469627629966,4.61755317775533,59,2019-01-01,"36"
"Air Max",317.689143493772,2.77197120618075,20,2018-10-29,"37"
"Air Max",764.637944940478,3.3902192490641,50,2020-01-23,"35"
"Air Max",289.364030025899,4.93671321193688,36,2020-07-21,"41"
"Air Max",303.343543317169,4.33840080769733,20,2020-04-23,"38"
"Air Max",205.912670632824,3.16396775143221,53,2015-10-14,"43"
"Air Max",351.365552702919,3.03075622278266,90,2018-05-29,"36"
"Air Max",441.1132725887,2.29783783387393,50,2020-07-26,"38"
"Air Max",555.632364377379,3.42688689660281,59,2019-02-09,"43"
"Air Max",260.801145015284,4.79483535001054,45,2018-10-09,"35"
"Air Max",691.654923511669,4.54644966917112,67,2018-08-13,"36"
"Air Max",673.589823767543,4.87943185283802,87,2016-01-11,"41"
"Air Max",565.53714312613,2.88362038950436,81,2015-07-10,"39"
"Air Max",411.868366785347,2.90022809617221,88,2015-04-23,"39"
"Air Max",637.74460060522,2.74783422937617,16,2019-07-05,"36"
"Air Max",736.506438348442,2.43525208020583,18,2016-06-18,"36"
"Air Max",746.407915744931,2.36958976788446,96,2020-05-16,"39"
"Air Max",316.563304001465,3.64023221633397,65,2015-07-29,"45"
"Air Max",353.60191068612,3.83415760099888,65,2019-10-16,"44"
"Air Max",444.949552323669,4.01040469412692,37,2016-12-19,"35"
"Air Max",624.916674615815,3.97766796918586,81,2019-01-20,"39"
"Air Max",769.900849880651,3.49885081523098,86,2017-12-12,"42"
"Air Max",355.760960979387,3.3550813253969,74,2020-09-25,"43"
"Air Max",752.885322133079,3.34213323099539,33,2016-04-28,"35"
"Air Max",747.779820254073,3.89420289965346,91,2016-11-15,"36"
"Air Max",797.702450072393,3.5491647333838,85,2016-07-04,"45"
"Air Max",610.944083379582,3.93294126843102,47,2019-05-19,"42"
"Air Max",654.115433013067,4.6297611752525,32,2016-07-24,"43"
"Air Max",412.530485726893,2.66794381663203,46,2017-10-23,"43"
"Air Max",480.12430537492,3.96428173384629,55,2018-04-20,"36"
"Air Max",730.706405127421,2.9174241097644,86,2015-12-22,"41"
"Air Max",725.772023852915,3.8416224680841,81,2020-04-02,"44"
"Air Max",561.205313401297,2.25217102444731,21,2018-02-04,"44"
"Air Max",315.01554409042,3.00545563455671,46,2020-08-04,"43"
"Air Max",357.918921345845,2.31319774338044,10,2018-04-11,"42"
"Air Max",287.229092232883,4.15563547448255,38,2015-02-21,"36"
"Air Max",469.065782101825,3.56560744368471,63,2017-11-02,"43"
"Air Max",585.173637513071,2.78820828255266,99,2017-10-21,"42"
"Air Max",266.782854311168,4.47986867232248,34,2016-12-07,"44"
"Air Max",267.149885417894,2.8337355137337,53,2016-05-11,"37"
"Air Max",411.41917668283,2.28886548010632,65,2019-06-18,"42"
"Air Max",320.12622221373,3.36423833039589,67,2015-02-06,"35"
"Air Max",625.286690937355,2.27537611522712,58,2019-05-15,"42"
"Air Max",241.712227230892,2.44540987117216,45,2015-07-01,"44"
"Air Max",383.051242865622,2.29917674791068,91,2015-01-23,"38"
"Air Max",758.346583973616,3.95556465303525,90,2017-07-15,"35"
"Air Max",617.079525860026,2.39060874655843,36,2018-02-15,"42"
"Air Max",333.213677071035,4.49358524126001,89,2019-04-01,"44"
"Air Max",755.476876813918,4.57212057826109,95,2019-07-28,"40"
"Air Max",522.367186006159,4.85062327189371,63,2020-03-23,"38"
"Air Max",238.615457387641,3.91654674219899,76,2019-06-14,"36"
"Air Max",312.984591769055,2.86841629818082,79,2019-08-06,"44"
"Air Max",671.367199672386,3.79841430066153,30,2015-04-11,"41"
"Air Max",706.409533601254,3.56096272310242,99,2019-10-31,"43"
"Air Max",736.017060652375,3.01772149233148,28,2019-04-22,"42"
"Air Max",614.652227424085,2.1231255272869,89,2017-07-29,"39"
"Air Max",443.702237121761,2.19732655631378,84,2015-12-25,"45"
"Air Max",559.05577740632,2.38734660833143,98,2019-04-11,"38"
"Air Max",315.932698082179,3.67298606410623,51,2018-04-05,"45"
"Air Max",500.778942275792,2.85304570524022,52,2020-12-19,"37"
"Air Max",645.059855468571,2.99744847021066,46,2018-02-19,"38"
"Air Max",574.037104705349,2.30334381945431,64,2017-05-30,"37"
"Air Max",261.75493854098,4.70034380303696,17,2016-04-27,"35"
"Air Max",356.532994890586,2.09167894208804,12,2019-11-18,"42"
"Air Max",522.022517956793,3.81914599728771,40,2016-10-11,"35"
"Air Max",418.966521136463,3.59494167543016,82,2020-07-27,"35"
"Air Max",752.886508591473,3.27852326468565,12,2019-05-19,"40"
"Air Max",555.288735823706,2.4627885480877,92,2017-12-27,"41"
"Air Max",283.551878808066,2.91577863739803,86,2018-02-19,"42"
"Air Max",506.832516333088,4.65073825768195,25,2018-01-30,"36"
"Air Max",235.497742006555,3.45011193072423,16,2019-03-01,"38"
"Air Max",753.259084327146,2.16709750122391,42,2017-09-11,"41"
"Air Max",318.419633898884,3.92736776871607,13,2019-07-03,"41"
"Air Max",751.332789007574,3.42287171073258,85,2017-08-31,"39"
"Air Max",616.831718664616,2.01217753766105,46,2016-11-05,"36"
"Air Max",585.169197898358,3.8515788433142,52,2020-05-29,"40"
"Air Max",669.520861981437,4.71824766346253,31,2019-11-26,"43"
"Air Max",640.864242985845,3.11344770831056,97,2015-01-01,"39"
"Air Max",591.593671729788,3.80501755559817,15,2020-02-04,"39"
"Air Max",462.390918750316,3.55321580148302,11,2019-10-31,"44"
"Air Max",596.251563495025,2.84944494790398,77,2016-11-22,"37"
"Air Max",409.729182021692,4.46074776514433,100,2020-09-27,"42"
"Air Max",330.832200543955,4.93469661124982,72,2017-05-09,"41"
"Air Max",418.609062302858,2.8026224123314,100,2018-05-15,"41"
"Air Max",338.984766043723,2.36926448228769,72,2016-01-26,"39"
"Air Max",631.982792075723,3.5609637289308,97,2018-10-04,"36"
"Air Max",516.665247594938,3.19568453845568,76,2020-11-23,"37"
"Air Max",275.521684903651,4.91271190112457,36,2015-02-24,"37"
"Air Max",315.811812737957,4.510507295141,31,2018-10-27,"40"
"Air Max",767.862066905946,3.26880725868978,87,2015-04-30,"37"
"Air Max",507.024463173002,4.29267240455374,79,2017-06-26,"37"
"Air Max",524.575817212462,4.0815901721362,12,2018-01-16,"38"
"Air Max",650.095501029864,2.33113718009554,28,2017-09-24,"44"
"Air Max",524.245771951973,2.38605716568418,70,2015-07-09,"43"
"Air Max",781.203990895301,3.22089882730506,40,2019-04-07,"38"
"Air Max",546.690932987258,3.78314740932547,98,2017-07-31,"41"
"Air Max",233.840561239049,2.76705534919165,48,2015-10-02,"40"
"Air Max",424.91025691852,4.29264210537076,36,2017-05-03,"36"
"Air Max",324.11571322009,3.40780117106624,65,2015-03-18,"42"
"Air Max",289.265015581623,2.35550706763752,30,2016-09-14,"41"
"Air Max",442.157362960279,4.33209370495752,16,2019-05-07,"39"
